"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"92","F1134",-36.0579378608418,-8.00894317541246,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"93","F1135",-36.0579352345457,-8.00890037202591,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"94","F1526",-36.0579736126604,-8.00998216813232,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"95","F1527",-36.0579654507823,-8.01000873310589,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"96","F1528",-36.0579552527167,-8.01004560038653,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"97","F1529",-36.057942725298,-8.01008690028917,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"98","F1531",-36.0579436242537,-8.01014811243533,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"99","F1533",-36.0579114337637,-8.01023950390006,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"100","F1536",-36.0578524782718,-8.01036375842743,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"101","F1537",-36.057839612603,-8.01040609029889,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"102","F1538",-36.0578284786261,-8.01044770277703,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"103","F1539",-36.0578158571144,-8.01048884841633,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"104","F1540",-36.05780370143,-8.01052949147535,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"105","F1541",-36.0577937231696,-8.01056729533104,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"106","F1542",-36.0577965915478,-8.01061007208724,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"107","F1521",-36.0581164817459,-8.00977371504156,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"108","F1522",-36.0580616754995,-8.00985686021561,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"109","F1523",-36.058050295793,-8.00989929456877,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"110","F1525",-36.0579994416201,-8.00994242642807,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"111","F1534",-36.0578793253395,-8.01028407426523,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"112","F1535",-36.0578657559511,-8.01032228573406,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"113","F1107",-36.057583240667,-8.01008460798952,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"114","F1133",-36.0579338100661,-8.00901318389483,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"115","F1408",-36.065569595152,-8.00769535755388,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,28,32,60,16,0,0.001496964995752,1,0,0,34125,1429,35554,346,5105.25,1
